2024-12-17 20:38:59,426 - Optimization parameters:
2024-12-17 20:38:59,426 - epsilon (Frobenius norm constraint): 10000.0
2024-12-17 20:38:59,426 - inner_tol (Tolerance for inner optimization): 1e-10
2024-12-17 20:38:59,426 - lr (Learning rate): 0.01
2024-12-17 20:38:59,426 - outer_num_steps (Number of outer optimization steps): 5000
2024-12-17 20:38:59,426 - inner_num_steps (Number of inner optimization steps): 100
2024-12-17 20:38:59,426 - outer_dis_num (Display loss every outer_dis_num steps): 10
2024-12-17 20:38:59,426 - inner_dis_num (Display loss every inner_dis_num steps): 2000
2024-12-17 20:39:02,035 - Step 0 norm(X - TN_G_Ours): 6263.6995457956, norm2(E): 99999980.46875095
2024-12-17 20:39:02,425 - Step 1 norm(X - TN_G_Ours): 6265.974784500812, norm2(E): 100000000.0
2024-12-17 20:39:02,811 - Step 2 norm(X - TN_G_Ours): 6268.251749890076, norm2(E): 100000000.0
2024-12-17 20:39:03,198 - Step 3 norm(X - TN_G_Ours): 6270.52916427314, norm2(E): 100000000.0
2024-12-17 20:39:03,596 - Step 4 norm(X - TN_G_Ours): 6272.807983670471, norm2(E): 100000000.0
2024-12-17 20:39:03,995 - Step 5 norm(X - TN_G_Ours): 6275.086931668756, norm2(E): 99999980.46875095
2024-12-17 20:39:04,385 - Step 6 norm(X - TN_G_Ours): 6277.367919757452, norm2(E): 100000000.0
2024-12-17 20:39:04,776 - Step 7 norm(X - TN_G_Ours): 6279.649353268062, norm2(E): 100000019.53125095
2024-12-17 20:39:05,151 - Step 8 norm(X - TN_G_Ours): 6281.932505208887, norm2(E): 100000000.0
2024-12-17 20:39:05,554 - Step 9 norm(X - TN_G_Ours): 6284.2154641609795, norm2(E): 100000000.0
2024-12-17 20:39:05,956 - Step 10 norm(X - TN_G_Ours): 6286.499821045094, norm2(E): 100000000.0
2024-12-17 20:39:06,362 - Step 11 norm(X - TN_G_Ours): 6288.785892364281, norm2(E): 100000000.0
2024-12-17 20:39:06,763 - Step 12 norm(X - TN_G_Ours): 6291.072722517202, norm2(E): 100000000.0
2024-12-17 20:39:07,167 - Step 13 norm(X - TN_G_Ours): 6293.360628471882, norm2(E): 100000000.0
2024-12-17 20:39:07,529 - Step 14 norm(X - TN_G_Ours): 6295.650562094437, norm2(E): 100000000.0
2024-12-17 20:39:07,851 - Step 15 norm(X - TN_G_Ours): 6297.940615788624, norm2(E): 100000019.53125095
