2024-12-18 15:34:30,283 - Optimization parameters:
2024-12-18 15:34:30,283 - epsilon (Frobenius norm constraint): 5
2024-12-18 15:34:30,283 - inner_tol (Tolerance for inner optimization): 1e-10
2024-12-18 15:34:30,283 - lr (Learning rate): 0.01
2024-12-18 15:34:30,283 - outer_num_steps (Number of outer optimization steps): 5000
2024-12-18 15:34:30,283 - inner_num_steps (Number of inner optimization steps): 100
2024-12-18 15:34:30,283 - outer_dis_num (Display loss every outer_dis_num steps): 10
2024-12-18 15:34:30,283 - inner_dis_num (Display loss every inner_dis_num steps): 2000
2024-12-18 15:34:32,954 - Step 0 norm(X - TN_G_Ours): 49.90233625856108, norm2(E): 25.0
2024-12-18 15:34:33,358 - Step 1 norm(X - TN_G_Ours): 50.85412319274736, norm2(E): 25.0
2024-12-18 15:34:33,711 - Step 2 norm(X - TN_G_Ours): 51.406430470807834, norm2(E): 25.0
2024-12-18 15:34:34,085 - Step 3 norm(X - TN_G_Ours): 51.73454960707472, norm2(E): 25.0
2024-12-18 15:34:34,434 - Step 4 norm(X - TN_G_Ours): 51.92819655694053, norm2(E): 25.0
2024-12-18 15:34:34,780 - Step 5 norm(X - TN_G_Ours): 52.04758095813628, norm2(E): 25.0
2024-12-18 15:34:35,129 - Step 6 norm(X - TN_G_Ours): 52.12802561662488, norm2(E): 25.0
2024-12-18 15:34:35,408 - Step 7 norm(X - TN_G_Ours): 52.18414098471393, norm2(E): 25.0
2024-12-18 15:34:35,748 - Step 8 norm(X - TN_G_Ours): 52.22518755202081, norm2(E): 25.0
2024-12-18 15:34:36,087 - Step 9 norm(X - TN_G_Ours): 52.25516991842171, norm2(E): 25.0
2024-12-18 15:34:36,478 - Step 10 norm(X - TN_G_Ours): 52.2786885766741, norm2(E): 25.0
2024-12-18 15:34:36,872 - Step 11 norm(X - TN_G_Ours): 52.29738851704858, norm2(E): 25.0
2024-12-18 15:34:37,268 - Step 12 norm(X - TN_G_Ours): 52.3126796778575, norm2(E): 25.0
2024-12-18 15:34:37,668 - Step 13 norm(X - TN_G_Ours): 52.32547255520011, norm2(E): 25.0
2024-12-18 15:34:38,082 - Step 14 norm(X - TN_G_Ours): 52.33652235547969, norm2(E): 25.0
2024-12-18 15:34:38,451 - Step 15 norm(X - TN_G_Ours): 52.346119349360556, norm2(E): 25.0
2024-12-18 15:34:38,811 - Step 16 norm(X - TN_G_Ours): 52.354637393841486, norm2(E): 24.999995231628645
2024-12-18 15:34:39,161 - Step 17 norm(X - TN_G_Ours): 52.36223554182442, norm2(E): 25.0
2024-12-18 15:34:39,527 - Step 18 norm(X - TN_G_Ours): 52.369361737834126, norm2(E): 25.0
2024-12-18 15:34:39,848 - Step 19 norm(X - TN_G_Ours): 52.375883327127525, norm2(E): 25.0
2024-12-18 15:34:40,209 - Step 20 norm(X - TN_G_Ours): 52.38201027070267, norm2(E): 25.0
2024-12-18 15:34:40,566 - Step 21 norm(X - TN_G_Ours): 52.3878126109141, norm2(E): 25.0
2024-12-18 15:34:40,925 - Step 22 norm(X - TN_G_Ours): 52.39337666126082, norm2(E): 25.0
2024-12-18 15:34:41,262 - Step 23 norm(X - TN_G_Ours): 52.398688519787875, norm2(E): 25.0
2024-12-18 15:34:41,616 - Step 24 norm(X - TN_G_Ours): 52.40378087504756, norm2(E): 24.999995231628645
2024-12-18 15:34:41,977 - Step 25 norm(X - TN_G_Ours): 52.40870503343171, norm2(E): 25.0
2024-12-18 15:34:42,322 - Step 26 norm(X - TN_G_Ours): 52.41354488584034, norm2(E): 25.0
2024-12-18 15:34:42,675 - Step 27 norm(X - TN_G_Ours): 52.41821429096116, norm2(E): 24.999995231628645
2024-12-18 15:34:43,027 - Step 28 norm(X - TN_G_Ours): 52.422948480066914, norm2(E): 25.0
2024-12-18 15:34:43,389 - Step 29 norm(X - TN_G_Ours): 52.427402838204515, norm2(E): 25.0
2024-12-18 15:34:43,761 - Step 30 norm(X - TN_G_Ours): 52.43167289211384, norm2(E): 25.0
2024-12-18 15:34:44,129 - Step 31 norm(X - TN_G_Ours): 52.43513245176725, norm2(E): 25.0
2024-12-18 15:34:44,504 - Step 32 norm(X - TN_G_Ours): 52.439213321235094, norm2(E): 25.0
2024-12-18 15:34:44,867 - Step 33 norm(X - TN_G_Ours): 52.444297086289566, norm2(E): 25.0
2024-12-18 15:34:45,253 - Step 34 norm(X - TN_G_Ours): 52.45598275652764, norm2(E): 25.0
2024-12-18 15:34:45,585 - Step 35 norm(X - TN_G_Ours): 52.466907352992514, norm2(E): 25.0
2024-12-18 15:34:45,844 - Step 36 norm(X - TN_G_Ours): 52.47570122208945, norm2(E): 25.0
2024-12-18 15:34:46,157 - Step 37 norm(X - TN_G_Ours): 52.48219098983721, norm2(E): 25.0
2024-12-18 15:34:46,473 - Step 38 norm(X - TN_G_Ours): 52.48763107643195, norm2(E): 25.0
2024-12-18 15:34:46,715 - Step 39 norm(X - TN_G_Ours): 52.49227528735776, norm2(E): 25.0
2024-12-18 15:34:47,017 - Step 40 norm(X - TN_G_Ours): 52.4959494345159, norm2(E): 25.0
2024-12-18 15:34:47,340 - Step 41 norm(X - TN_G_Ours): 52.49689118399655, norm2(E): 25.0
2024-12-18 15:34:47,578 - Step 42 norm(X - TN_G_Ours): 52.48980555784142, norm2(E): 25.0
2024-12-18 15:34:47,891 - Step 43 norm(X - TN_G_Ours): 52.505938094240825, norm2(E): 25.0
2024-12-18 15:34:48,199 - Step 44 norm(X - TN_G_Ours): 52.51524378766726, norm2(E): 25.0
2024-12-18 15:34:48,549 - Step 45 norm(X - TN_G_Ours): 52.51999944589561, norm2(E): 25.0
2024-12-18 15:34:48,905 - Step 46 norm(X - TN_G_Ours): 52.52163802603171, norm2(E): 25.0
2024-12-18 15:34:49,272 - Step 47 norm(X - TN_G_Ours): 52.522560721709155, norm2(E): 25.0
2024-12-18 15:34:49,637 - Step 48 norm(X - TN_G_Ours): 52.52638380941286, norm2(E): 25.0
2024-12-18 15:34:49,982 - Step 49 norm(X - TN_G_Ours): 52.53467047162759, norm2(E): 25.0
2024-12-18 15:34:50,333 - Step 50 norm(X - TN_G_Ours): 52.543903703533964, norm2(E): 25.0
2024-12-18 15:34:50,688 - Step 51 norm(X - TN_G_Ours): 52.549785731901416, norm2(E): 25.0
2024-12-18 15:34:50,985 - Step 52 norm(X - TN_G_Ours): 52.55357896575052, norm2(E): 25.0
2024-12-18 15:34:51,347 - Step 53 norm(X - TN_G_Ours): 52.556642621021275, norm2(E): 25.0
2024-12-18 15:34:51,631 - Step 54 norm(X - TN_G_Ours): 52.559415783473085, norm2(E): 25.00000476837181
2024-12-18 15:34:51,994 - Step 55 norm(X - TN_G_Ours): 52.5619008214957, norm2(E): 25.0
2024-12-18 15:34:52,358 - Step 56 norm(X - TN_G_Ours): 52.56379355200807, norm2(E): 25.0
2024-12-18 15:34:52,714 - Step 57 norm(X - TN_G_Ours): 52.56368440252976, norm2(E): 25.0
2024-12-18 15:34:53,080 - Step 58 norm(X - TN_G_Ours): 52.55824754275608, norm2(E): 25.0
2024-12-18 15:34:53,440 - Step 59 norm(X - TN_G_Ours): 52.55890250397049, norm2(E): 25.0
2024-12-18 15:34:53,798 - Step 60 norm(X - TN_G_Ours): 52.5718514087803, norm2(E): 25.0
2024-12-18 15:34:54,163 - Step 61 norm(X - TN_G_Ours): 52.57837342066127, norm2(E): 25.0
2024-12-18 15:34:54,512 - Step 62 norm(X - TN_G_Ours): 52.57953657094768, norm2(E): 25.0
2024-12-18 15:34:54,884 - Step 63 norm(X - TN_G_Ours): 52.57878667860024, norm2(E): 25.0
2024-12-18 15:34:55,255 - Step 64 norm(X - TN_G_Ours): 52.5767110693984, norm2(E): 25.00000476837181
2024-12-18 15:34:55,604 - Step 65 norm(X - TN_G_Ours): 52.57701754034266, norm2(E): 25.0
2024-12-18 15:34:55,956 - Step 66 norm(X - TN_G_Ours): 52.582139055541, norm2(E): 25.0
2024-12-18 15:34:56,319 - Step 67 norm(X - TN_G_Ours): 52.59073957144808, norm2(E): 25.0
2024-12-18 15:34:56,692 - Step 68 norm(X - TN_G_Ours): 52.59677186060234, norm2(E): 25.00000476837181
2024-12-18 15:34:57,065 - Step 69 norm(X - TN_G_Ours): 52.60059651663895, norm2(E): 25.0
