2024-12-17 19:41:29,556 - Norm2 (epsilon): 100.0
2024-12-17 19:41:31,683 - Step 0 norm(X - TN_G_Ours): 10455.116259516199, norm2(E): 10006.91647873167
2024-12-17 19:41:31,723 - Step 1 norm(X - TN_G_Ours): 10455.521412153485, norm2(E): 10020.093701957026
2024-12-17 19:41:31,763 - Step 2 norm(X - TN_G_Ours): 10455.925783975325, norm2(E): 10033.203174788738
2024-12-17 19:41:31,807 - Step 3 norm(X - TN_G_Ours): 10456.32899252888, norm2(E): 10046.247806206578
2024-12-17 19:41:31,851 - Step 4 norm(X - TN_G_Ours): 10456.730655419982, norm2(E): 10059.221331618959
2024-12-17 19:41:31,895 - Step 5 norm(X - TN_G_Ours): 10457.130007798507, norm2(E): 10072.123597022379
2024-12-17 19:41:31,942 - Step 6 norm(X - TN_G_Ours): 10457.526284929912, norm2(E): 10084.937593550945
2024-12-17 19:41:31,990 - Step 7 norm(X - TN_G_Ours): 10457.92101710469, norm2(E): 10097.641670798475
2024-12-17 19:41:32,041 - Step 8 norm(X - TN_G_Ours): 10458.310379788889, norm2(E): 10110.220263228752
2024-12-17 19:41:32,089 - Step 9 norm(X - TN_G_Ours): 10458.696285866608, norm2(E): 10122.660839986289
2024-12-17 19:41:32,131 - Step 10 norm(X - TN_G_Ours): 10459.077970834715, norm2(E): 10134.937017742544
2024-12-17 19:41:32,168 - Step 11 norm(X - TN_G_Ours): 10459.455052726218, norm2(E): 10147.040798524919
2024-12-17 19:41:32,218 - Step 12 norm(X - TN_G_Ours): 10459.826002376903, norm2(E): 10158.961094750324
2024-12-17 19:41:32,264 - Step 13 norm(X - TN_G_Ours): 10460.192350047872, norm2(E): 10170.68218219938
2024-12-17 19:41:32,314 - Step 14 norm(X - TN_G_Ours): 10460.551801888847, norm2(E): 10182.200624876656
2024-12-17 19:41:32,357 - Step 15 norm(X - TN_G_Ours): 10460.905123362892, norm2(E): 10193.502202213043
2024-12-17 19:41:32,393 - Step 16 norm(X - TN_G_Ours): 10461.253079817923, norm2(E): 10204.581918382086
2024-12-17 19:41:32,426 - Step 17 norm(X - TN_G_Ours): 10461.592612982022, norm2(E): 10215.433232832933
2024-12-17 19:41:32,463 - Step 18 norm(X - TN_G_Ours): 10461.925635369427, norm2(E): 10226.04805680603
2024-12-17 19:41:32,504 - Step 19 norm(X - TN_G_Ours): 10462.251765275007, norm2(E): 10236.424469193676
2024-12-17 19:41:32,548 - Step 20 norm(X - TN_G_Ours): 10462.570238712857, norm2(E): 10246.554376138607
2024-12-17 19:41:32,596 - Step 21 norm(X - TN_G_Ours): 10462.880674078244, norm2(E): 10256.437404199096
2024-12-17 19:41:32,646 - Step 22 norm(X - TN_G_Ours): 10463.184601257879, norm2(E): 10266.068551076809
2024-12-17 19:41:32,689 - Step 23 norm(X - TN_G_Ours): 10463.479344845098, norm2(E): 10275.445908779511
2024-12-17 19:41:32,731 - Step 24 norm(X - TN_G_Ours): 10463.767581516708, norm2(E): 10284.569123630004
2024-12-17 19:41:32,777 - Step 25 norm(X - TN_G_Ours): 10464.04778276552, norm2(E): 10293.436303586699
2024-12-17 19:41:32,813 - Step 26 norm(X - TN_G_Ours): 10464.318420231679, norm2(E): 10302.04556375835
2024-12-17 19:41:32,856 - Step 27 norm(X - TN_G_Ours): 10464.582934833094, norm2(E): 10310.39967473835
2024-12-17 19:41:32,902 - Step 28 norm(X - TN_G_Ours): 10464.83903364022, norm2(E): 10318.504521937633
2024-12-17 19:41:32,946 - Step 29 norm(X - TN_G_Ours): 10465.087099494203, norm2(E): 10326.352054737567
2024-12-17 19:41:32,989 - Step 30 norm(X - TN_G_Ours): 10465.32713296627, norm2(E): 10333.951283020491
2024-12-17 19:41:33,032 - Step 31 norm(X - TN_G_Ours): 10465.559516815143, norm2(E): 10341.303481254727
2024-12-17 19:41:33,072 - Step 32 norm(X - TN_G_Ours): 10465.784251550382, norm2(E): 10348.411487438716
2024-12-17 19:41:33,100 - Step 33 norm(X - TN_G_Ours): 10466.002102044506, norm2(E): 10355.279705488123
2024-12-17 19:41:33,141 - Step 34 norm(X - TN_G_Ours): 10466.211922180823, norm2(E): 10361.909447617887
2024-12-17 19:41:33,184 - Step 35 norm(X - TN_G_Ours): 10466.414094617125, norm2(E): 10368.308251354843
2024-12-17 19:41:33,237 - Step 36 norm(X - TN_G_Ours): 10466.609384131998, norm2(E): 10374.482117664593
2024-12-17 19:41:33,280 - Step 37 norm(X - TN_G_Ours): 10466.797791110708, norm2(E): 10380.429289331718
2024-12-17 19:41:33,324 - Step 38 norm(X - TN_G_Ours): 10466.979315924915, norm2(E): 10386.160455360601
2024-12-17 19:41:33,362 - Step 39 norm(X - TN_G_Ours): 10467.154341080482, norm2(E): 10391.680101949954
2024-12-17 19:41:33,402 - Step 40 norm(X - TN_G_Ours): 10467.322102620135, norm2(E): 10396.988059291849
2024-12-17 19:41:33,437 - Step 41 norm(X - TN_G_Ours): 10467.483365164713, norm2(E): 10402.098170416662
2024-12-17 19:41:33,480 - Step 42 norm(X - TN_G_Ours): 10467.638511144718, norm2(E): 10407.010288518155
2024-12-17 19:41:33,526 - Step 43 norm(X - TN_G_Ours): 10467.787922956788, norm2(E): 10411.730500409612
2024-12-17 19:41:33,569 - Step 44 norm(X - TN_G_Ours): 10467.931600846463, norm2(E): 10416.266461352876
2024-12-17 19:41:33,613 - Step 45 norm(X - TN_G_Ours): 10468.068398706611, norm2(E): 10420.621165561082
2024-12-17 19:41:33,660 - Step 46 norm(X - TN_G_Ours): 10468.200227355226, norm2(E): 10424.802288541629
2024-12-17 19:41:33,697 - Step 47 norm(X - TN_G_Ours): 10468.32708698004, norm2(E): 10428.815958313702
2024-12-17 19:41:33,735 - Step 48 norm(X - TN_G_Ours): 10468.448213560594, norm2(E): 10432.663636253215
2024-12-17 19:41:33,774 - Step 49 norm(X - TN_G_Ours): 10468.564371488575, norm2(E): 10436.356141795928
2024-12-17 19:41:33,818 - Step 0 norm(X - TN_G_ATR): 10455.01953125, norm2(E): 10006.40666545392
2024-12-17 19:41:33,860 - Step 1 norm(X - TN_G_ATR): 10454.85546875, norm2(E): 10019.511766752752
2024-12-17 19:41:33,900 - Step 2 norm(X - TN_G_ATR): 10454.6923828125, norm2(E): 10032.59487682581
2024-12-17 19:41:33,941 - Step 3 norm(X - TN_G_ATR): 10454.5283203125, norm2(E): 10045.642171642045
2024-12-17 19:41:33,979 - Step 4 norm(X - TN_G_ATR): 10454.365234375, norm2(E): 10058.638261301036
2024-12-17 19:41:34,011 - Step 5 norm(X - TN_G_ATR): 10454.2021484375, norm2(E): 10071.567716796475
2024-12-17 19:41:34,048 - Step 6 norm(X - TN_G_ATR): 10454.041015625, norm2(E): 10084.41200591717
2024-12-17 19:41:34,088 - Step 7 norm(X - TN_G_ATR): 10453.880859375, norm2(E): 10097.15868383646
2024-12-17 19:41:34,125 - Step 8 norm(X - TN_G_ATR): 10453.7216796875, norm2(E): 10109.790673592128
2024-12-17 19:41:34,170 - Step 9 norm(X - TN_G_ATR): 10453.5634765625, norm2(E): 10122.29699880263
2024-12-17 19:41:34,207 - Step 10 norm(X - TN_G_ATR): 10453.40625, norm2(E): 10134.660514556803
2024-12-17 19:41:34,247 - Step 11 norm(X - TN_G_ATR): 10453.2529296875, norm2(E): 10146.870185993845
2024-12-17 19:41:34,289 - Step 12 norm(X - TN_G_ATR): 10453.099609375, norm2(E): 10158.913418081647
2024-12-17 19:41:34,318 - Step 13 norm(X - TN_G_ATR): 10452.9501953125, norm2(E): 10170.780668570718
2024-12-17 19:41:34,353 - Step 14 norm(X - TN_G_ATR): 10452.8017578125, norm2(E): 10182.459298969246
2024-12-17 19:41:34,385 - Step 15 norm(X - TN_G_ATR): 10452.6552734375, norm2(E): 10193.936647925526
2024-12-17 19:41:34,427 - Step 16 norm(X - TN_G_ATR): 10452.51171875, norm2(E): 10205.20773972408
2024-12-17 19:41:34,469 - Step 17 norm(X - TN_G_ATR): 10452.37109375, norm2(E): 10216.26296811644
2024-12-17 19:41:34,513 - Step 18 norm(X - TN_G_ATR): 10452.2333984375, norm2(E): 10227.097343189234
2024-12-17 19:41:34,551 - Step 19 norm(X - TN_G_ATR): 10452.09765625, norm2(E): 10237.696609217906
2024-12-17 19:41:34,590 - Step 20 norm(X - TN_G_ATR): 10451.9658203125, norm2(E): 10248.063481449208
2024-12-17 19:41:34,622 - Step 21 norm(X - TN_G_ATR): 10451.8369140625, norm2(E): 10258.189871572016
2024-12-17 19:41:34,656 - Step 22 norm(X - TN_G_ATR): 10451.7109375, norm2(E): 10268.070777054003
2024-12-17 19:41:34,691 - Step 23 norm(X - TN_G_ATR): 10451.587890625, norm2(E): 10277.702742407622
2024-12-17 19:41:34,732 - Step 24 norm(X - TN_G_ATR): 10451.466796875, norm2(E): 10287.085410915839
2024-12-17 19:41:34,770 - Step 25 norm(X - TN_G_ATR): 10451.3505859375, norm2(E): 10296.215338627866
2024-12-17 19:41:34,810 - Step 26 norm(X - TN_G_ATR): 10451.2373046875, norm2(E): 10305.092183608154
2024-12-17 19:41:34,852 - Step 27 norm(X - TN_G_ATR): 10451.126953125, norm2(E): 10313.710964659462
2024-12-17 19:41:34,894 - Step 28 norm(X - TN_G_ATR): 10451.01953125, norm2(E): 10322.080654978985
2024-12-17 19:41:34,930 - Step 29 norm(X - TN_G_ATR): 10450.916015625, norm2(E): 10330.194743694796
2024-12-17 19:41:34,967 - Step 30 norm(X - TN_G_ATR): 10450.8154296875, norm2(E): 10338.059131421673
2024-12-17 19:41:35,002 - Step 31 norm(X - TN_G_ATR): 10450.7177734375, norm2(E): 10345.671977511665
2024-12-17 19:41:35,041 - Step 32 norm(X - TN_G_ATR): 10450.623046875, norm2(E): 10353.036106126441
2024-12-17 19:41:35,083 - Step 33 norm(X - TN_G_ATR): 10450.5322265625, norm2(E): 10360.15746131452
2024-12-17 19:41:35,125 - Step 34 norm(X - TN_G_ATR): 10450.443359375, norm2(E): 10367.037343645701
2024-12-17 19:41:35,167 - Step 35 norm(X - TN_G_ATR): 10450.3583984375, norm2(E): 10373.680172651133
2024-12-17 19:41:35,209 - Step 36 norm(X - TN_G_ATR): 10450.27734375, norm2(E): 10380.085718404735
2024-12-17 19:41:35,243 - Step 37 norm(X - TN_G_ATR): 10450.197265625, norm2(E): 10386.263089676446
2024-12-17 19:41:35,276 - Step 38 norm(X - TN_G_ATR): 10450.12109375, norm2(E): 10392.218303167261
2024-12-17 19:41:35,308 - Step 39 norm(X - TN_G_ATR): 10450.0478515625, norm2(E): 10397.949610367417
2024-12-17 19:41:35,350 - Step 40 norm(X - TN_G_ATR): 10449.9765625, norm2(E): 10403.464606497437
2024-12-17 19:41:35,390 - Step 41 norm(X - TN_G_ATR): 10449.9091796875, norm2(E): 10408.770902040473
2024-12-17 19:41:35,430 - Step 42 norm(X - TN_G_ATR): 10449.84375, norm2(E): 10413.87300767214
2024-12-17 19:41:35,472 - Step 43 norm(X - TN_G_ATR): 10449.78125, norm2(E): 10418.770772321208
2024-12-17 19:41:35,513 - Step 44 norm(X - TN_G_ATR): 10449.720703125, norm2(E): 10423.479629524285
2024-12-17 19:41:35,547 - Step 45 norm(X - TN_G_ATR): 10449.662109375, norm2(E): 10427.996334096475
2024-12-17 19:41:35,587 - Step 46 norm(X - TN_G_ATR): 10449.607421875, norm2(E): 10432.32699454669
2024-12-17 19:41:35,622 - Step 47 norm(X - TN_G_ATR): 10449.5537109375, norm2(E): 10436.483964999265
2024-12-17 19:41:35,661 - Step 48 norm(X - TN_G_ATR): 10449.5029296875, norm2(E): 10440.464022889733
2024-12-17 19:41:35,706 - Step 49 norm(X - TN_G_ATR): 10449.4541015625, norm2(E): 10444.279541820346
2024-12-17 19:41:35,708 - Norm2 (Comparison Algorithm): 10449.4541015625
2024-12-17 19:41:35,737 - Norm2 (Our Algorithm): 10468.564453125
2024-12-17 19:41:35,737 - Norm2 (Original TR Algorithm): 10454.974609375
