2024-12-17 20:25:47,676 - Optimization parameters:
2024-12-17 20:25:47,677 - epsilon (Frobenius norm constraint): 10000.0
2024-12-17 20:25:47,677 - inner_tol (Tolerance for inner optimization): 1e-10
2024-12-17 20:25:47,677 - lr (Learning rate): 0.01
2024-12-17 20:25:47,677 - outer_num_steps (Number of outer optimization steps): 100
2024-12-17 20:25:47,677 - inner_num_steps (Number of inner optimization steps): 100
2024-12-17 20:25:47,677 - outer_dis_num (Display loss every outer_dis_num steps): 10
2024-12-17 20:25:47,677 - inner_dis_num (Display loss every inner_dis_num steps): 2000
2024-12-17 20:25:50,060 - Step 0 norm(X - TN_G_Ours): 6284.015276875129, norm2(E): 99999980.46875095
2024-12-17 20:25:50,381 - Step 1 norm(X - TN_G_Ours): 6286.271709049808, norm2(E): 100000000.0
2024-12-17 20:25:50,717 - Step 2 norm(X - TN_G_Ours): 6288.530193932443, norm2(E): 100000000.0
2024-12-17 20:25:51,009 - Step 3 norm(X - TN_G_Ours): 6290.788185911206, norm2(E): 100000000.0
2024-12-17 20:25:51,351 - Step 4 norm(X - TN_G_Ours): 6293.047274572153, norm2(E): 100000000.0
2024-12-17 20:25:51,650 - Step 5 norm(X - TN_G_Ours): 6295.306823340702, norm2(E): 100000000.0
2024-12-17 20:25:52,043 - Step 6 norm(X - TN_G_Ours): 6297.567149304563, norm2(E): 100000000.0
2024-12-17 20:25:52,321 - Step 7 norm(X - TN_G_Ours): 6299.827934158202, norm2(E): 100000019.53125095
2024-12-17 20:25:52,710 - Step 8 norm(X - TN_G_Ours): 6302.0894947628285, norm2(E): 100000019.53125095
2024-12-17 20:25:53,097 - Step 9 norm(X - TN_G_Ours): 6304.351195801199, norm2(E): 100000019.53125095
2024-12-17 20:25:53,486 - Step 10 norm(X - TN_G_Ours): 6306.613037122223, norm2(E): 100000000.0
2024-12-17 20:25:53,879 - Step 11 norm(X - TN_G_Ours): 6308.875652602451, norm2(E): 100000000.0
2024-12-17 20:25:54,268 - Step 12 norm(X - TN_G_Ours): 6311.139041409245, norm2(E): 100000000.0
2024-12-17 20:25:54,618 - Step 13 norm(X - TN_G_Ours): 6313.402252351738, norm2(E): 100000000.0
2024-12-17 20:25:55,010 - Step 14 norm(X - TN_G_Ours): 6315.666235639753, norm2(E): 100000019.53125095
2024-12-17 20:25:55,397 - Step 15 norm(X - TN_G_Ours): 6317.931940120912, norm2(E): 100000000.0
2024-12-17 20:25:55,795 - Step 16 norm(X - TN_G_Ours): 6320.19651593208, norm2(E): 100000000.0
2024-12-17 20:25:56,183 - Step 17 norm(X - TN_G_Ours): 6322.461545948698, norm2(E): 100000000.0
2024-12-17 20:25:56,575 - Step 18 norm(X - TN_G_Ours): 6324.727345901956, norm2(E): 100000000.0
2024-12-17 20:25:56,972 - Step 19 norm(X - TN_G_Ours): 6326.993914964673, norm2(E): 100000000.0
2024-12-17 20:25:57,272 - Step 20 norm(X - TN_G_Ours): 6329.261252310573, norm2(E): 100000019.53125095
2024-12-17 20:25:57,673 - Step 21 norm(X - TN_G_Ours): 6331.528409475867, norm2(E): 100000000.0
2024-12-17 20:25:58,038 - Step 22 norm(X - TN_G_Ours): 6333.796018186882, norm2(E): 100000000.0
2024-12-17 20:25:58,425 - Step 23 norm(X - TN_G_Ours): 6336.06344665203, norm2(E): 100000000.0
2024-12-17 20:25:58,825 - Step 24 norm(X - TN_G_Ours): 6338.331641686163, norm2(E): 99999980.46875095
2024-12-17 20:25:59,223 - Step 25 norm(X - TN_G_Ours): 6340.601233321648, norm2(E): 100000000.0
2024-12-17 20:25:59,629 - Step 26 norm(X - TN_G_Ours): 6342.870012856956, norm2(E): 100000019.53125095
2024-12-17 20:26:00,040 - Step 27 norm(X - TN_G_Ours): 6345.139557172876, norm2(E): 100000000.0
2024-12-17 20:26:00,278 - Step 28 norm(X - TN_G_Ours): 6347.409550359895, norm2(E): 99999980.46875095
2024-12-17 20:26:00,604 - Step 29 norm(X - TN_G_Ours): 6349.679361983564, norm2(E): 100000000.0
2024-12-17 20:26:00,974 - Step 30 norm(X - TN_G_Ours): 6351.949936830421, norm2(E): 100000000.0
2024-12-17 20:26:01,331 - Step 31 norm(X - TN_G_Ours): 6354.221274082293, norm2(E): 100000000.0
2024-12-17 20:26:01,669 - Step 32 norm(X - TN_G_Ours): 6356.492429005167, norm2(E): 100000019.53125095
2024-12-17 20:26:02,015 - Step 33 norm(X - TN_G_Ours): 6358.764345374028, norm2(E): 100000000.0
