2024-12-17 21:38:18,943 - Optimization parameters:
2024-12-17 21:38:18,943 - epsilon (Frobenius norm constraint): 1
2024-12-17 21:38:18,943 - inner_tol (Tolerance for inner optimization): 1e-10
2024-12-17 21:38:18,943 - lr (Learning rate): 0.01
2024-12-17 21:38:18,943 - outer_num_steps (Number of outer optimization steps): 100
2024-12-17 21:38:18,943 - inner_num_steps (Number of inner optimization steps): 100
2024-12-17 21:38:18,943 - outer_dis_num (Display loss every outer_dis_num steps): 10
2024-12-17 21:38:18,944 - inner_dis_num (Display loss every inner_dis_num steps): 2000
2024-12-17 21:38:21,299 - Step 0 norm(X - TN_G_Ours): 48.90503692584998, norm2(E): 1.0
2024-12-17 21:38:21,691 - Step 1 norm(X - TN_G_Ours): 49.41393095338221, norm2(E): 0.999999880790714
2024-12-17 21:38:22,101 - Step 2 norm(X - TN_G_Ours): 49.48013677777048, norm2(E): 0.999999880790714
2024-12-17 21:38:22,508 - Step 3 norm(X - TN_G_Ours): 49.49308466530956, norm2(E): 0.999999880790714
2024-12-17 21:38:22,905 - Step 4 norm(X - TN_G_Ours): 49.49709735413153, norm2(E): 1.0
2024-12-17 21:38:23,301 - Step 5 norm(X - TN_G_Ours): 49.49892724926597, norm2(E): 0.999999880790714
2024-12-17 21:38:23,716 - Step 6 norm(X - TN_G_Ours): 49.499985203596275, norm2(E): 1.0
2024-12-17 21:38:24,124 - Step 7 norm(X - TN_G_Ours): 49.50062884307001, norm2(E): 1.0
2024-12-17 21:38:24,489 - Step 8 norm(X - TN_G_Ours): 49.5011565718734, norm2(E): 1.0
2024-12-17 21:38:24,893 - Step 9 norm(X - TN_G_Ours): 49.501556063768085, norm2(E): 0.999999880790714
2024-12-17 21:38:25,289 - Step 10 norm(X - TN_G_Ours): 49.501938290649285, norm2(E): 0.999999880790714
2024-12-17 21:38:25,704 - Step 11 norm(X - TN_G_Ours): 49.50224407002929, norm2(E): 1.0
2024-12-17 21:38:26,099 - Step 12 norm(X - TN_G_Ours): 49.50255724533961, norm2(E): 0.999999880790714
2024-12-17 21:38:26,503 - Step 13 norm(X - TN_G_Ours): 49.502845759423266, norm2(E): 0.999999880790714
2024-12-17 21:38:26,905 - Step 14 norm(X - TN_G_Ours): 49.503084953585216, norm2(E): 1.0
2024-12-17 21:38:27,318 - Step 15 norm(X - TN_G_Ours): 49.50336853279532, norm2(E): 0.999999880790714
2024-12-17 21:38:27,685 - Step 16 norm(X - TN_G_Ours): 49.503644712725446, norm2(E): 1.0
