2024-12-24 20:14:43,357 - Proposed-ATNMF Experiment
2024-12-24 20:14:43,357 - Optimization parameters:
2024-12-24 20:14:43,357 - epsilon (Frobenius norm constraint): 20
2024-12-24 20:14:43,357 - inner_tol (Tolerance for inner optimization): 1e-10
2024-12-24 20:14:43,357 - lr (Learning rate): 0.01
2024-12-24 20:14:43,357 - outer_num_steps (Number of outer optimization steps): 100
2024-12-24 20:14:43,357 - inner_num_steps (Number of inner optimization steps): 100
2024-12-24 20:14:43,357 - outer_dis_num (Display loss every outer_dis_num steps): 10
2024-12-24 20:14:43,357 - inner_dis_num (Display loss every inner_dis_num steps): 2000
2024-12-24 20:14:45,523 - Step 0 norm(X - TN_G_Ours): 48.838016498100636, norm2(E): 6.5636780414161535
2024-12-24 20:14:45,703 - Step 1 norm(X - TN_G_Ours): 50.42783025724114, norm2(E): 17.85905040000307
2024-12-24 20:14:45,888 - Step 2 norm(X - TN_G_Ours): 51.65329836924139, norm2(E): 9.861626567443636
2024-12-24 20:14:46,074 - Step 3 norm(X - TN_G_Ours): 51.01653186406834, norm2(E): 14.015637999189096
2024-12-24 20:14:46,262 - Step 4 norm(X - TN_G_Ours): 51.490807166486036, norm2(E): 11.208338048760424
2024-12-24 20:14:46,450 - Step 5 norm(X - TN_G_Ours): 51.23658599224411, norm2(E): 12.72963268738954
2024-12-24 20:14:46,636 - Step 6 norm(X - TN_G_Ours): 51.416391002012915, norm2(E): 11.736093154463617
2024-12-24 20:14:46,825 - Step 7 norm(X - TN_G_Ours): 51.329138117855386, norm2(E): 12.235397878233925
2024-12-24 20:14:47,013 - Step 8 norm(X - TN_G_Ours): 51.390328081386095, norm2(E): 11.864653950830473
2024-12-24 20:14:47,202 - Step 9 norm(X - TN_G_Ours): 51.35678185954363, norm2(E): 12.015877082536463
2024-12-24 20:14:47,393 - Step 10 norm(X - TN_G_Ours): 51.375803103516056, norm2(E): 11.871075237351988
2024-12-24 20:14:47,588 - Step 11 norm(X - TN_G_Ours): 51.36230549519024, norm2(E): 11.900606907784322
2024-12-24 20:14:47,776 - Step 12 norm(X - TN_G_Ours): 51.36617453849128, norm2(E): 11.832468600042375
2024-12-24 20:14:47,964 - Step 13 norm(X - TN_G_Ours): 51.35910642232787, norm2(E): 11.825893785831397
2024-12-24 20:14:48,151 - Step 14 norm(X - TN_G_Ours): 51.358110533567384, norm2(E): 11.787476982340195
2024-12-24 20:14:48,337 - Step 15 norm(X - TN_G_Ours): 51.35356580319545, norm2(E): 11.769776542060754
2024-12-24 20:14:48,530 - Step 16 norm(X - TN_G_Ours): 51.35101515853898, norm2(E): 11.742981202645808
2024-12-24 20:14:48,716 - Step 17 norm(X - TN_G_Ours): 51.34748731072437, norm2(E): 11.724311698380063
