2024-12-26 15:45:34,638 - Proposed-ATNMF Experiment
2024-12-26 15:45:34,638 - Optimization parameters:
2024-12-26 15:45:34,638 - epsilon (Frobenius norm constraint): 0.010000000000000002
2024-12-26 15:45:34,638 - inner_tol (Tolerance for inner optimization): 1e-10
2024-12-26 15:45:34,638 - lr (Learning rate): 0.001
2024-12-26 15:45:34,638 - outer_num_steps (Number of outer optimization steps): 100
2024-12-26 15:45:34,638 - inner_num_steps (Number of inner optimization steps): 100
2024-12-26 15:45:34,638 - outer_dis_num (Display loss every outer_dis_num steps): 10
2024-12-26 15:45:34,638 - inner_dis_num (Display loss every inner_dis_num steps): 2000
2024-12-26 15:45:37,042 - Step 0 norm(X - TN_G_Ours): 48.83898879145508, norm2(E): 0.09999998658895493
2024-12-26 15:45:37,225 - Step 1 norm(X - TN_G_Ours): 48.89701140774736, norm2(E): 0.10000000149011612
2024-12-26 15:45:37,405 - Step 2 norm(X - TN_G_Ours): 48.90159472652068, norm2(E): 0.10000000894069672
2024-12-26 15:45:37,584 - Step 3 norm(X - TN_G_Ours): 48.90205652948043, norm2(E): 0.10000000149011612
2024-12-26 15:45:37,774 - Step 4 norm(X - TN_G_Ours): 48.90207400302031, norm2(E): 0.10000000149011612
2024-12-26 15:45:37,954 - Step 5 norm(X - TN_G_Ours): 48.902128919819276, norm2(E): 0.10000000894069672
2024-12-26 15:45:38,133 - Step 6 norm(X - TN_G_Ours): 48.9021588744109, norm2(E): 0.10000000149011612
2024-12-26 15:45:38,313 - Step 7 norm(X - TN_G_Ours): 48.902108950081335, norm2(E): 0.10000000149011612
2024-12-26 15:45:38,497 - Step 8 norm(X - TN_G_Ours): 48.90211643873402, norm2(E): 0.10000000149011612
2024-12-26 15:45:38,679 - Step 9 norm(X - TN_G_Ours): 48.902096468990976, norm2(E): 0.10000000149011612
2024-12-26 15:45:38,863 - Step 10 norm(X - TN_G_Ours): 48.90212642360248, norm2(E): 0.10000000149011612
2024-12-26 15:45:39,041 - Step 11 norm(X - TN_G_Ours): 48.902113942516586, norm2(E): 0.10000001639127731
2024-12-26 15:45:39,223 - Step 12 norm(X - TN_G_Ours): 48.90203655971293, norm2(E): 0.10000000894069672
2024-12-26 15:45:39,404 - Step 13 norm(X - TN_G_Ours): 48.90203406349142, norm2(E): 0.10000000894069672
2024-12-26 15:45:39,586 - Step 14 norm(X - TN_G_Ours): 48.90207649923978, norm2(E): 0.10000000149011612
2024-12-26 15:45:39,766 - Step 15 norm(X - TN_G_Ours): 48.90207899545913, norm2(E): 0.10000000149011612
2024-12-26 15:45:39,946 - Step 16 norm(X - TN_G_Ours): 48.90200161260017, norm2(E): 0.10000000149011612
2024-12-26 15:45:40,126 - Step 17 norm(X - TN_G_Ours): 48.9020864841164, norm2(E): 0.10000000894069672
2024-12-26 15:45:40,307 - Step 18 norm(X - TN_G_Ours): 48.901996620153454, norm2(E): 0.10000001639127731
