2024-12-26 15:57:58,818 - Proposed-ATNMF Experiment
2024-12-26 15:57:58,819 - Optimization parameters:
2024-12-26 15:57:58,819 - epsilon (Frobenius norm constraint): 0.010000000000000002
2024-12-26 15:57:58,819 - inner_tol (Tolerance for inner optimization): 1e-10
2024-12-26 15:57:58,819 - lr (Learning rate): 10
2024-12-26 15:57:58,819 - outer_num_steps (Number of outer optimization steps): 100
2024-12-26 15:57:58,819 - inner_num_steps (Number of inner optimization steps): 100
2024-12-26 15:57:58,819 - outer_dis_num (Display loss every outer_dis_num steps): 10
2024-12-26 15:57:58,819 - inner_dis_num (Display loss every inner_dis_num steps): 2000
2024-12-26 15:58:00,837 - Step 0 norm(X - TN_G_Ours): 48.83833393276356, norm2(E): 0.10000000894069672
2024-12-26 15:58:01,000 - Step 1 norm(X - TN_G_Ours): 48.901449944154265, norm2(E): 0.10000000149011612
2024-12-26 15:58:01,171 - Step 2 norm(X - TN_G_Ours): 48.90219631762463, norm2(E): 0.10000000149011612
2024-12-26 15:58:01,339 - Step 3 norm(X - TN_G_Ours): 48.90218134034258, norm2(E): 0.10000000149011612
2024-12-26 15:58:01,476 - Step 4 norm(X - TN_G_Ours): 48.902261219127176, norm2(E): 0.10000000149011612
2024-12-26 15:58:01,615 - Step 5 norm(X - TN_G_Ours): 48.90215138576472, norm2(E): 0.10000000149011612
2024-12-26 15:58:01,755 - Step 6 norm(X - TN_G_Ours): 48.902128919819276, norm2(E): 0.10000000894069672
2024-12-26 15:58:01,891 - Step 7 norm(X - TN_G_Ours): 48.90214639333329, norm2(E): 0.10000000149011612
2024-12-26 15:58:02,030 - Step 8 norm(X - TN_G_Ours): 48.90207400302031, norm2(E): 0.10000000149011612
2024-12-26 15:58:02,169 - Step 9 norm(X - TN_G_Ours): 48.90206401814115, norm2(E): 0.09999999403953552
2024-12-26 15:58:02,307 - Step 10 norm(X - TN_G_Ours): 48.90211643873402, norm2(E): 0.10000000149011612
2024-12-26 15:58:02,450 - Step 11 norm(X - TN_G_Ours): 48.90203156726978, norm2(E): 0.10000000894069672
2024-12-26 15:58:02,594 - Step 12 norm(X - TN_G_Ours): 48.90206651436113, norm2(E): 0.10000000149011612
2024-12-26 15:58:02,736 - Step 13 norm(X - TN_G_Ours): 48.90198164281024, norm2(E): 0.10000000149011612
2024-12-26 15:58:02,874 - Step 14 norm(X - TN_G_Ours): 48.901886786196705, norm2(E): 0.10000000149011612
2024-12-26 15:58:03,012 - Step 15 norm(X - TN_G_Ours): 48.901959176786825, norm2(E): 0.10000001639127731
2024-12-26 15:58:03,149 - Step 16 norm(X - TN_G_Ours): 48.90202657482612, norm2(E): 0.10000000149011612
2024-12-26 15:58:03,286 - Step 17 norm(X - TN_G_Ours): 48.90203406349142, norm2(E): 0.10000000149011612
2024-12-26 15:58:03,427 - Step 18 norm(X - TN_G_Ours): 48.90204155215557, norm2(E): 0.10000000149011612
2024-12-26 15:58:03,571 - Step 19 norm(X - TN_G_Ours): 48.902113942516586, norm2(E): 0.10000000149011612
