2024-12-26 16:06:26,473 - Proposed-ATNMF Experiment
2024-12-26 16:06:26,474 - Optimization parameters:
2024-12-26 16:06:26,474 - epsilon (Frobenius norm constraint): 0.010000000000000002
2024-12-26 16:06:26,474 - inner_tol (Tolerance for inner optimization): 1e-10
2024-12-26 16:06:26,474 - lr (Learning rate): 1e-05
2024-12-26 16:06:26,474 - outer_num_steps (Number of outer optimization steps): 300
2024-12-26 16:06:26,474 - inner_num_steps (Number of inner optimization steps): 100
2024-12-26 16:06:26,474 - outer_dis_num (Display loss every outer_dis_num steps): 10
2024-12-26 16:06:26,474 - inner_dis_num (Display loss every inner_dis_num steps): 2000
2024-12-26 16:06:28,978 - Step 0 norm(X - TN_G_Ours): 48.838841324042484, norm2(E): 0.10000000149011612
2024-12-26 16:06:29,161 - Step 1 norm(X - TN_G_Ours): 48.840373463745394, norm2(E): 0.10000000149011612
2024-12-26 16:06:29,338 - Step 2 norm(X - TN_G_Ours): 48.84198053416753, norm2(E): 0.10000000149011612
2024-12-26 16:06:29,517 - Step 3 norm(X - TN_G_Ours): 48.84361504299974, norm2(E): 0.10000000149011612
2024-12-26 16:06:29,697 - Step 4 norm(X - TN_G_Ours): 48.845249497136365, norm2(E): 0.10000000149011612
2024-12-26 16:06:29,878 - Step 5 norm(X - TN_G_Ours): 48.846826418631075, norm2(E): 0.10000000149011612
2024-12-26 16:06:30,056 - Step 6 norm(X - TN_G_Ours): 48.84837080270052, norm2(E): 0.10000000149011612
2024-12-26 16:06:30,241 - Step 7 norm(X - TN_G_Ours): 48.84994012678649, norm2(E): 0.10000000894069672
2024-12-26 16:06:30,427 - Step 8 norm(X - TN_G_Ours): 48.85146192317329, norm2(E): 0.10000000149011612
2024-12-26 16:06:30,612 - Step 9 norm(X - TN_G_Ours): 48.853033646687436, norm2(E): 0.10000000149011612
2024-12-26 16:06:30,795 - Step 10 norm(X - TN_G_Ours): 48.854535357528476, norm2(E): 0.09999998658895493
2024-12-26 16:06:30,982 - Step 11 norm(X - TN_G_Ours): 48.855994546473006, norm2(E): 0.10000000149011612
2024-12-26 16:06:31,163 - Step 12 norm(X - TN_G_Ours): 48.85753864073844, norm2(E): 0.10000000894069672
2024-12-26 16:06:31,343 - Step 13 norm(X - TN_G_Ours): 48.85889030779736, norm2(E): 0.10000000149011612
2024-12-26 16:06:31,523 - Step 14 norm(X - TN_G_Ours): 48.860369353489084, norm2(E): 0.10000000149011612
